classifier,n,Lhat,trainTime,testTime,iterate
Log. Reg, 50, 0.478666667, 0.006311893, 0.004065990, 0
Lin. SVM, 50, 0.478666667, 0.062514067, 0.002079010, 0
SVM, 50, 0.501066667, 0.002623081, 0.126845837, 0
kNN, 50, 0.491733333, 0.000768661, 0.242516994, 0
RF, 50, 0.482133333, 0.111890793, 0.035259724, 0
MLP, 50, 0.489333333, 0.450286865, 0.012615919, 0
Log. Reg, 100, 0.480533333, 0.011682034, 0.002051115, 0
Lin. SVM, 100, 0.475733333, 0.123676777, 0.002267122, 0
SVM, 100, 0.498666667, 0.008266926, 0.256539822, 0
kNN, 100, 0.494666667, 0.000725985, 0.411648035, 0
RF, 100, 0.493333333, 0.141171932, 0.039765120, 0
MLP, 100, 0.494133333, 0.801750183, 0.012359858, 0
Log. Reg, 200, 0.470400000, 0.032370090, 0.002043009, 0
Lin. SVM, 200, 0.473866667, 0.224306107, 0.002026081, 0
SVM, 200, 0.486933333, 0.027946949, 0.492699862, 0
kNN, 200, 0.486933333, 0.002238989, 0.761204958, 0
RF, 200, 0.505600000, 0.206522226, 0.041464090, 0
MLP, 200, 0.477333333, 1.761595011, 0.013152838, 0
Log. Reg, 400, 0.463200000, 0.098080158, 0.002127171, 0
Lin. SVM, 400, 0.469333333, 0.420295000, 0.001871109, 0
SVM, 400, 0.473066667, 0.109430075, 0.988359928, 0
kNN, 400, 0.496266667, 0.003808022, 1.566154957, 0
RF, 400, 0.497066667, 0.417614698, 0.054882050, 0
MLP, 400, 0.462133333, 1.383805037, 0.013751984, 0
Log. Reg, 1000, 0.462400000, 0.404037237, 0.002048016, 0
Lin. SVM, 1000, 0.465600000, 1.224094152, 0.001990318, 0
SVM, 1000, 0.451200000, 0.666060209, 2.395622969, 0
kNN, 1000, 0.503733333, 0.013583183, 4.599452972, 0
RF, 1000, 0.465600000, 1.446157932, 0.059461117, 0
MLP, 1000, 0.471733333, 0.415590763, 0.009783030, 0
Log. Reg, 2000, 0.446666667, 0.876554966, 0.001899004, 0
Lin. SVM, 2000, 0.477866667, 2.701400042, 0.001860142, 0
SVM, 2000, 0.445333333, 2.966809988, 5.161691189, 0
kNN, 2000, 0.500533333, 0.037885189, 9.900118113, 0
RF, 2000, 0.472800000, 2.762445211, 0.074566126, 0
MLP, 2000, 0.469600000, 1.050433159, 0.010614157, 0
